id_hex wheel_hex sector pfeb tds_channel pad_channel x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 wheel id layer quad
0x7f6800f000000000 0xA 4 0 75 28 -162.657 1891.32 7453.35 -330.829 1891.3 7453.29 -169.795 1972.74 7453.48 -345.2 1972.71 7453.42 10 9180588871186907136 0 0
0x7f68018000000000 0xA 4 0 76 27 2.95956 1891.35 7453.41 -162.657 1891.32 7453.35 2.94548 1972.77 7453.55 -169.795 1972.74 7453.48 10 9180589489662197760 0 0
0x7f68021000000000 0xA 4 0 77 26 168.576 1891.38 7453.48 2.95956 1891.35 7453.41 175.686 1972.8 7453.61 2.94548 1972.77 7453.55 10 9180590108137488384 0 0
0x7f6802a000000000 0xA 4 0 78 25 336.748 1891.41 7453.54 168.576 1891.38 7453.48 351.091 1972.83 7453.68 175.686 1972.8 7453.61 10 9180590726612779008 0 0
0x7f68033000000000 0xA 4 0 79 24 476.031 1891.43 7453.59 336.748 1891.41 7453.54 496.317 1972.86 7453.73 351.091 1972.83 7453.68 10 9180591345088069632 0 0
0x7f68006800000000 0xA 4 0 80 23 -345.2 1972.71 7453.42 -494.426 1972.69 7453.36 -359.57 2054.13 7453.54 -514.74 2054.1 7453.49 10 9180588287071354880 0 0
0x7f6800f800000000 0xA 4 0 81 22 -169.795 1972.74 7453.48 -345.2 1972.71 7453.42 -176.932 2054.16 7453.61 -359.57 2054.13 7453.54 10 9180588905546645504 0 0
0x7f68018800000000 0xA 4 0 82 21 2.94548 1972.77 7453.55 -169.795 1972.74 7453.48 2.93139 2054.19 7453.68 -176.932 2054.16 7453.61 10 9180589524021936128 0 0
0x7f68021800000000 0xA 4 0 83 20 175.686 1972.8 7453.61 2.94548 1972.77 7453.55 182.795 2054.22 7453.75 2.93139 2054.19 7453.68 10 9180590142497226752 0 0
0x7f6802a800000000 0xA 4 0 84 19 351.091 1972.83 7453.68 175.686 1972.8 7453.61 365.433 2054.26 7453.81 182.795 2054.22 7453.75 10 9180590760972517376 0 0
0x7f68033800000000 0xA 4 0 85 18 496.317 1972.86 7453.73 351.091 1972.83 7453.68 516.603 2054.28 7453.87 365.433 2054.26 7453.81 10 9180591379447808000 0 0
